StartDate|RFS|EndDate
End|2023-07-28 16:32:06,599|RFS-1-7811134194
End|2023-07-28 16:33:06,715|RFS-1-7811134324
End|2023-07-28 16:33:20,506|RFS-1-7811134354
End|2023-07-28 16:33:36,146|RFS-1-7811134384
End|2023-07-28 16:33:51,705|RFS-1-7811134414
End|2023-07-28 16:34:07,346|RFS-1-7811134454
End|2023-07-28 16:34:22,948|RFS-1-7811134484
End|2023-07-28 16:34:40,966|RFS-1-7811134514
End|2023-07-28 16:34:55,772|RFS-1-7811134544
End|2023-07-28 16:35:11,435|RFS-1-7811134584
End|2023-07-28 16:36:11,023|RFS-1-7811134704
End|2023-07-28 16:36:28,617|RFS-1-7811134744
End|2023-07-28 16:36:44,053|RFS-1-7811134774
End|2023-07-28 16:36:59,819|RFS-1-7811134804
End|2023-07-28 16:37:15,783|RFS-1-7811134834
End|2023-07-28 16:37:31,640|RFS-1-7811134864
End|2023-07-28 17:00:03,128|RFS-1-7811137594
End|2023-07-28 17:00:21,065|RFS-1-7811137634
End|2023-07-28 17:00:36,515|RFS-1-7811137664
End|2023-07-28 17:00:52,309|RFS-1-7811137694
End|2023-07-28 17:01:08,391|RFS-1-7811137724
End|2023-07-28 17:01:24,274|RFS-1-7811137754
End|2023-07-28 17:01:40,089|RFS-1-7811137784
End|2023-07-28 17:01:55,310|RFS-1-7811137824
End|2023-07-28 17:02:10,255|RFS-1-7811137854
End|2023-07-28 17:02:25,374|RFS-1-7811137884
End|2023-07-28 17:02:40,855|RFS-1-7811137914
End|2023-07-28 17:02:56,480|RFS-1-7811137944
End|2023-07-28 17:03:12,157|RFS-1-7811138974
End|2023-07-28 17:03:28,091|RFS-1-7811139014
End|2023-07-28 17:03:43,931|RFS-1-7811139044
End|2023-07-28 17:03:59,614|RFS-1-7811139074
End|2023-07-28 17:04:15,533|RFS-1-7811139104
End|2023-07-28 17:04:29,405|RFS-1-7811139134
End|2023-07-28 17:30:15,384|RFS-1-7811142324
End|2023-07-28 17:30:30,865|RFS-1-7811142354
End|2023-07-28 17:30:46,623|RFS-1-7811142384
End|2023-07-28 17:31:02,888|RFS-1-7811142414
End|2023-07-28 17:31:19,102|RFS-1-7811142454
End|2023-07-28 17:31:35,062|RFS-1-7811142484
End|2023-07-28 17:31:50,624|RFS-1-7811142514
End|2023-07-28 17:32:06,363|RFS-1-7811142544
End|2023-07-28 17:32:22,071|RFS-1-7811142574
End|2023-07-28 17:32:37,490|RFS-1-7811142614
End|2023-07-28 17:32:52,947|RFS-1-7811142644
End|2023-07-28 18:00:17,546|RFS-1-7811151474
End|2023-07-28 18:00:32,868|RFS-1-7811151514
End|2023-07-28 18:00:48,798|RFS-1-7811151544
End|2023-07-28 18:01:04,418|RFS-1-7811151574
End|2023-07-28 18:01:25,491|RFS-1-7811151604
End|2023-07-28 18:01:44,244|RFS-1-7811151634
End|2023-07-28 18:01:59,891|RFS-1-7811151674
End|2023-07-28 18:02:15,506|RFS-1-7811151704
End|2023-07-28 18:30:15,480|RFS-1-7811159434
End|2023-07-28 18:30:30,713|RFS-1-7811159464
End|2023-07-28 18:30:44,340|RFS-1-7811159504
End|2023-07-28 18:30:59,823|RFS-1-7811159534
End|2023-07-28 18:31:15,436|RFS-1-7811159564
End|2023-07-28 18:31:31,284|RFS-1-7811159594
End|2023-07-28 18:45:16,430|RFS-1-7811163184
End|2023-07-28 18:45:32,630|RFS-1-7811163224
End|2023-07-28 18:45:48,286|RFS-1-7811163254
End|2023-07-28 18:46:04,049|RFS-1-7811163284
End|2023-07-28 18:46:19,657|RFS-1-7811163314
End|2023-07-28 19:00:03,591|RFS-1-7811165034
End|2023-07-28 19:00:19,246|RFS-1-7811165064
End|2023-07-28 19:00:35,174|RFS-1-7811165094
End|2023-07-28 19:00:50,897|RFS-1-7811165134
End|2023-07-28 19:15:04,394|RFS-1-7811169944
End|2023-07-28 19:15:20,006|RFS-1-7811170974
End|2023-07-28 19:15:37,579|RFS-1-7811171014
End|2023-07-28 19:30:09,620|RFS-1-7811175414
End|2023-07-28 19:30:24,580|RFS-1-7811175444
End|2023-07-28 19:45:16,175|RFS-1-7811180984
End|2023-07-28 20:00:16,542|RFS-1-7811181144
End|2023-07-28 20:15:15,703|RFS-1-7811181264
End|2023-07-28 20:30:16,104|RFS-1-7811181384
End|2023-07-28 20:45:15,769|RFS-1-7811181504
StartDate|RFS|EndDate
End|2023-07-14 22:52:40,366|RFS-1-7810360844
End|2023-07-16 16:02:06,974|RFS-1-7810359994
End|2023-07-17 09:40:32,239|RFS-1-7810360784
End|2023-07-17 09:41:43,527|RFS-1-7810360374
End|2023-07-17 09:42:31,817|RFS-1-7810360344
End|2023-07-17 17:40:19,649|RFS-1-7810546974
End|2023-07-21 14:49:35,231|RFS-1-7810913434
End|2023-07-21 14:50:14,351|RFS-1-7810913454
End|2023-07-21 14:50:52,766|RFS-1-7810913474
End|2023-07-21 14:51:29,472|RFS-1-7810913504
End|2023-07-21 14:52:31,014|RFS-1-7810913564
End|2023-07-21 15:33:00,834|RFS-1-7810913714
End|2023-07-21 17:17:40,314|RFS-1-7810913764
End|2023-07-21 17:19:09,873|RFS-1-7810913794
End|2023-07-21 19:30:19,029|RFS-1-7810913824
End|2023-07-21 20:25:26,019|RFS-1-7810913894
End|2023-07-21 20:30:16,687|RFS-1-7810922954
End|2023-07-21 20:41:15,726|RFS-1-7810923024
End|2023-07-21 20:46:44,646|RFS-1-7810923094
End|2023-07-24 11:30:25,889|RFS-1-7810923224
End|2023-07-24 12:00:16,421|RFS-1-7810923344
End|2023-07-24 16:10:14,002|RFS-1-7810923414
End|2023-07-24 19:54:08,344|RFS-1-7810923624
End|2023-07-24 20:15:15,999|RFS-1-7810923654
End|2023-07-25 10:00:16,086|RFS-1-7810923884
End|2023-07-25 11:01:23,005|RFS-1-7810923924
End|2023-07-28 14:30:30,884|RFS-1-7810974294
End|2023-07-28 14:30:47,165|RFS-1-7810974314
End|2023-07-28 14:31:04,691|RFS-1-7810974354
End|2023-07-28 14:32:07,818|RFS-1-7810974474
End|2023-07-28 14:32:23,709|RFS-1-7810974514
End|2023-07-28 14:32:39,621|RFS-1-7810974544
End|2023-07-28 14:32:55,374|RFS-1-7810974574
End|2023-07-28 14:33:10,239|RFS-1-7810974604
End|2023-07-28 14:33:25,902|RFS-1-7810974634
End|2023-07-28 14:33:40,946|RFS-1-7810974664
End|2023-07-28 14:33:56,698|RFS-1-7810974704
End|2023-07-28 14:34:12,478|RFS-1-7810974734
End|2023-07-28 14:34:28,374|RFS-1-7810974794
End|2023-07-28 14:34:44,041|RFS-1-7810974834
End|2023-07-28 14:34:59,783|RFS-1-7810974864
End|2023-07-28 14:35:16,077|RFS-1-7810974894
End|2023-07-28 14:35:32,512|RFS-1-7810974924
End|2023-07-28 14:35:47,932|RFS-1-7811116964
End|2023-07-28 14:36:03,179|RFS-1-7811116994
End|2023-07-28 14:37:06,264|RFS-1-7811117124
End|2023-07-28 14:37:22,361|RFS-1-7811117154
End|2023-07-28 14:37:40,053|RFS-1-7811117184
End|2023-07-28 14:37:55,292|RFS-1-7811117224
End|2023-07-28 14:38:10,440|RFS-1-7811117254
End|2023-07-28 14:38:25,529|RFS-1-7811117284
End|2023-07-28 14:38:39,923|RFS-1-7811117314
End|2023-07-28 14:38:53,645|RFS-1-7811117354
End|2023-07-28 14:39:07,865|RFS-1-7811117384
End|2023-07-28 14:39:21,734|RFS-1-7811117414
End|2023-07-28 14:39:37,785|RFS-1-7811117444
End|2023-07-28 14:39:53,168|RFS-1-7811117484
